,beer,TIMESTAMP,Month,day_of_week,is_weekend,Winter,Spring,Summer,Fall,actual_beer_sold
152,92,1212278400,6,6,1,0,0,1,0,55.0
153,63,1212364800,6,0,0,0,0,1,0,31.0
154,84,1212451200,6,1,0,0,0,1,0,41.0
155,46,1212537600,6,2,0,0,0,1,0,26.0
156,74,1212624000,6,3,0,0,0,1,0,36.0
157,53,1212710400,6,4,0,0,0,1,0,27.0
158,46,1212796800,6,5,1,0,0,1,0,22.0
159,70,1212883200,6,6,1,0,0,1,0,34.0
160,57,1212969600,6,0,0,0,0,1,0,26.0
161,80,1213056000,6,1,0,0,0,1,0,43.0
162,64,1213142400,6,2,0,0,0,1,0,31.0
163,49,1213228800,6,3,0,0,0,1,0,17.0
164,87,1213315200,6,4,0,0,0,1,0,45.0
165,100,1213401600,6,5,1,0,0,1,0,49.0
166,46,1213488000,6,6,1,0,0,1,0,28.0
167,61,1213574400,6,0,0,0,0,1,0,22.0
168,50,1213660800,6,1,0,0,0,1,0,20.0
169,68,1213747200,6,2,0,0,0,1,0,33.0
170,80,1213833600,6,3,0,0,0,1,0,37.0
171,42,1213920000,6,4,0,0,0,1,0,21.0
172,89,1214006400,6,5,1,0,0,1,0,41.0
173,51,1214092800,6,6,1,0,0,1,0,27.0
174,64,1214179200,6,0,0,0,0,1,0,32.0
175,54,1214265600,6,1,0,0,0,1,0,23.0
176,66,1214352000,6,2,0,0,0,1,0,40.0
177,63,1214438400,6,3,0,0,0,1,0,31.0
178,62,1214524800,6,4,0,0,0,1,0,22.0
179,42,1214611200,6,5,1,0,0,1,0,20.0
180,62,1214697600,6,6,1,0,0,1,0,25.0
181,62,1214784000,6,0,0,0,0,1,0,24.0
182,49,1214870400,7,1,0,0,0,1,0,18.0
183,60,1214956800,7,2,0,0,0,1,0,34.0
184,69,1215043200,7,3,0,0,0,1,0,37.0
185,89,1215129600,7,4,0,0,0,1,0,48.0
186,36,1215216000,7,5,1,0,0,1,0,17.0
187,47,1215302400,7,6,1,0,0,1,0,25.0
188,46,1215388800,7,0,0,0,0,1,0,11.0
189,37,1215475200,7,1,0,0,0,1,0,24.0
190,64,1215561600,7,2,0,0,0,1,0,33.0
191,69,1215648000,7,3,0,0,0,1,0,35.0
192,75,1215734400,7,4,0,0,0,1,0,41.0
193,100,1215820800,7,5,1,0,0,1,0,45.0
194,39,1215907200,7,6,1,0,0,1,0,24.0
195,78,1215993600,7,0,0,0,0,1,0,44.0
196,42,1216080000,7,1,0,0,0,1,0,18.0
197,62,1216166400,7,2,0,0,0,1,0,34.0
198,81,1216252800,7,3,0,0,0,1,0,49.0
199,37,1216339200,7,4,0,0,0,1,0,12.0
200,73,1216425600,7,5,1,0,0,1,0,45.0
201,50,1216512000,7,6,1,0,0,1,0,24.0
202,60,1216598400,7,0,0,0,0,1,0,29.0
203,60,1216684800,7,1,0,0,0,1,0,24.0
204,79,1216771200,7,2,0,0,0,1,0,36.0
205,62,1216857600,7,3,0,0,0,1,0,29.0
206,60,1216944000,7,4,0,0,0,1,0,32.0
207,61,1217030400,7,5,1,0,0,1,0,36.0
208,71,1217116800,7,6,1,0,0,1,0,35.0
209,64,1217203200,7,0,0,0,0,1,0,33.0
210,85,1217289600,7,1,0,0,0,1,0,38.0
211,53,1217376000,7,2,0,0,0,1,0,30.0
212,51,1217462400,7,3,0,0,0,1,0,25.0
213,70,1217548800,8,4,0,0,0,1,0,39.0
214,47,1217635200,8,5,1,0,0,1,0,31.0
215,67,1217721600,8,6,1,0,0,1,0,37.0
216,64,1217808000,8,0,0,0,0,1,0,30.0
217,41,1217894400,8,1,0,0,0,1,0,26.0
218,42,1217980800,8,2,0,0,0,1,0,24.0
219,53,1218067200,8,3,0,0,0,1,0,29.0
220,100,1218153600,8,4,0,0,0,1,0,51.0
221,92,1218240000,8,5,1,0,0,1,0,42.0
222,27,1218326400,8,6,1,0,0,1,0,10.0
223,59,1218412800,8,0,0,0,0,1,0,36.0
224,66,1218499200,8,1,0,0,0,1,0,36.0
225,43,1218585600,8,2,0,0,0,1,0,29.0
226,77,1218672000,8,3,0,0,0,1,0,33.0
227,71,1218758400,8,4,0,0,0,1,0,35.0
228,58,1218844800,8,5,1,0,0,1,0,33.0
229,52,1218931200,8,6,1,0,0,1,0,26.0
230,63,1219017600,8,0,0,0,0,1,0,31.0
231,63,1219104000,8,1,0,0,0,1,0,34.0
232,77,1219190400,8,2,0,0,0,1,0,36.0
233,81,1219276800,8,3,0,0,0,1,0,42.0
234,58,1219363200,8,4,0,0,0,1,0,26.0
235,52,1219449600,8,5,1,0,0,1,0,29.0
236,82,1219536000,8,6,1,0,0,1,0,52.0
237,84,1219622400,8,0,0,0,0,1,0,45.0
238,67,1219708800,8,1,0,0,0,1,0,31.0
239,94,1219795200,8,2,0,0,0,1,0,53.0
240,71,1219881600,8,3,0,0,0,1,0,37.0
241,75,1219968000,8,4,0,0,0,1,0,40.0
242,83,1220054400,8,5,1,0,0,1,0,42.0
243,50,1220140800,8,6,1,0,0,1,0,28.0
244,51,1220227200,9,0,0,0,0,0,1,24.0
245,73,1220313600,9,1,0,0,0,0,1,39.0
246,60,1220400000,9,2,0,0,0,0,1,27.0
247,43,1220486400,9,3,0,0,0,0,1,21.0
248,100,1220572800,9,4,0,0,0,0,1,51.0
249,77,1220659200,9,5,1,0,0,0,1,39.0
250,54,1220745600,9,6,1,0,0,0,1,35.0
251,72,1220832000,9,0,0,0,0,0,1,44.0
252,67,1220918400,9,1,0,0,0,0,1,29.0
253,65,1221004800,9,2,0,0,0,0,1,40.0
254,79,1221091200,9,3,0,0,0,0,1,43.0
255,58,1221177600,9,4,0,0,0,0,1,29.0
256,74,1221264000,9,5,1,0,0,0,1,46.0
257,73,1221350400,9,6,1,0,0,0,1,30.0
258,66,1221436800,9,0,0,0,0,0,1,42.0
259,59,1221523200,9,1,0,0,0,0,1,29.0
260,42,1221609600,9,2,0,0,0,0,1,21.0
261,71,1221696000,9,3,0,0,0,0,1,31.0
262,80,1221782400,9,4,0,0,0,0,1,40.0
263,51,1221868800,9,5,1,0,0,0,1,17.0
264,42,1221955200,9,6,1,0,0,0,1,20.0
265,67,1222041600,9,0,0,0,0,0,1,33.0
266,76,1222128000,9,1,0,0,0,0,1,33.0
267,48,1222214400,9,2,0,0,0,0,1,23.0
268,83,1222300800,9,3,0,0,0,0,1,42.0
269,76,1222387200,9,4,0,0,0,0,1,32.0
270,65,1222473600,9,5,1,0,0,0,1,35.0
271,62,1222560000,9,6,1,0,0,0,1,31.0
272,54,1222646400,9,0,0,0,0,0,1,24.0
273,52,1222732800,9,1,0,0,0,0,1,29.0
274,49,1222819200,10,2,0,0,0,0,1,25.0
275,47,1222905600,10,3,0,0,0,0,1,14.0
276,82,1222992000,10,4,0,0,0,0,1,49.0
277,73,1223078400,10,5,1,0,0,0,1,38.0
278,89,1223164800,10,6,1,0,0,0,1,41.0
279,80,1223251200,10,0,0,0,0,0,1,36.0
280,67,1223337600,10,1,0,0,0,0,1,34.0
281,67,1223424000,10,2,0,0,0,0,1,33.0
282,100,1223510400,10,3,0,0,0,0,1,52.0
283,95,1223596800,10,4,0,0,0,0,1,42.0
284,75,1223683200,10,5,1,0,0,0,1,35.0
285,70,1223769600,10,6,1,0,0,0,1,37.0
286,60,1223856000,10,0,0,0,0,0,1,30.0
287,63,1223942400,10,1,0,0,0,0,1,30.0
288,59,1224028800,10,2,0,0,0,0,1,20.0
289,73,1224115200,10,3,0,0,0,0,1,35.0
290,76,1224201600,10,4,0,0,0,0,1,29.0
291,85,1224288000,10,5,1,0,0,0,1,40.0
292,71,1224374400,10,6,1,0,0,0,1,41.0
293,61,1224460800,10,0,0,0,0,0,1,38.0
294,53,1224547200,10,1,0,0,0,0,1,27.0
295,72,1224633600,10,2,0,0,0,0,1,47.0
296,76,1224720000,10,3,0,0,0,0,1,32.0
297,64,1224806400,10,4,0,0,0,0,1,27.0
298,64,1224892800,10,5,1,0,0,0,1,24.0
299,49,1224979200,10,6,1,0,0,0,1,25.0
300,84,1225065600,10,0,0,0,0,0,1,45.0
301,57,1225152000,10,1,0,0,0,0,1,26.0
302,82,1225238400,10,2,0,0,0,0,1,42.0
303,60,1225324800,10,3,0,0,0,0,1,28.0
304,67,1225411200,10,4,0,0,0,0,1,28.0
305,38,1225497600,11,5,1,0,0,0,1,9.0
306,86,1225584000,11,6,1,0,0,0,1,44.0
307,72,1225670400,11,0,0,0,0,0,1,41.0
308,81,1225756800,11,1,0,0,0,0,1,39.0
309,54,1225843200,11,2,0,0,0,0,1,30.0
310,40,1225929600,11,3,0,0,0,0,1,19.0
311,63,1226016000,11,4,0,0,0,0,1,32.0
312,71,1226102400,11,5,1,0,0,0,1,40.0
313,67,1226188800,11,6,1,0,0,0,1,27.0
314,59,1226275200,11,0,0,0,0,0,1,30.0
315,68,1226361600,11,1,0,0,0,0,1,34.0
316,51,1226448000,11,2,0,0,0,0,1,26.0
317,57,1226534400,11,3,0,0,0,0,1,30.0
318,45,1226620800,11,4,0,0,0,0,1,26.0
319,52,1226707200,11,5,1,0,0,0,1,36.0
320,34,1226793600,11,6,1,0,0,0,1,12.0
321,47,1226880000,11,0,0,0,0,0,1,16.0
322,60,1226966400,11,1,0,0,0,0,1,37.0
323,46,1227052800,11,2,0,0,0,0,1,31.0
324,81,1227139200,11,3,0,0,0,0,1,41.0
325,62,1227225600,11,4,0,0,0,0,1,30.0
326,75,1227312000,11,5,1,0,0,0,1,38.0
327,67,1227398400,11,6,1,0,0,0,1,31.0
328,84,1227484800,11,0,0,0,0,0,1,37.0
329,67,1227571200,11,1,0,0,0,0,1,34.0
330,53,1227657600,11,2,0,0,0,0,1,24.0
331,51,1227744000,11,3,0,0,0,0,1,29.0
332,42,1227830400,11,4,0,0,0,0,1,20.0
333,100,1227916800,11,5,1,0,0,0,1,47.0
334,49,1228003200,11,6,1,0,0,0,1,18.0
335,66,1228089600,12,0,0,1,0,0,0,35.0
336,69,1228176000,12,1,0,1,0,0,0,33.0
337,77,1228262400,12,2,0,1,0,0,0,38.0
338,68,1228348800,12,3,0,1,0,0,0,36.0
339,49,1228435200,12,4,0,1,0,0,0,24.0
340,66,1228521600,12,5,1,1,0,0,0,33.0
341,74,1228608000,12,6,1,1,0,0,0,38.0
342,69,1228694400,12,0,0,1,0,0,0,39.0
343,70,1228780800,12,1,0,1,0,0,0,36.0
344,65,1228867200,12,2,0,1,0,0,0,38.0
345,69,1228953600,12,3,0,1,0,0,0,32.0
346,93,1229040000,12,4,0,1,0,0,0,52.0
347,73,1229126400,12,5,1,1,0,0,0,30.0
348,94,1229212800,12,6,1,1,0,0,0,48.0
349,65,1229299200,12,0,0,1,0,0,0,31.0
350,60,1229385600,12,1,0,1,0,0,0,31.0
351,59,1229472000,12,2,0,1,0,0,0,27.0
352,63,1229558400,12,3,0,1,0,0,0,45.0
353,77,1229644800,12,4,0,1,0,0,0,34.0
354,80,1229731200,12,5,1,1,0,0,0,43.0
355,76,1229817600,12,6,1,1,0,0,0,39.0
356,54,1229904000,12,0,0,1,0,0,0,31.0
357,78,1229990400,12,1,0,1,0,0,0,38.0
358,82,1230076800,12,2,0,1,0,0,0,38.0
359,100,1230163200,12,3,0,1,0,0,0,48.0
360,33,1230249600,12,4,0,1,0,0,0,19.0
361,98,1230336000,12,5,1,1,0,0,0,47.0
362,60,1230422400,12,6,1,1,0,0,0,29.0
363,60,1230508800,12,0,0,1,0,0,0,36.0
364,59,1230595200,12,1,0,1,0,0,0,24.0
365,92,1230681600,12,2,0,1,0,0,0,49.0
366,66,1230768000,1,3,0,1,0,0,0,31.0
367,61,1230854400,1,4,0,1,0,0,0,37.0
368,66,1230940800,1,5,1,1,0,0,0,36.0
369,53,1231027200,1,6,1,1,0,0,0,25.0
370,65,1231113600,1,0,0,1,0,0,0,41.0
371,99,1231200000,1,1,0,1,0,0,0,45.0
372,61,1231286400,1,2,0,1,0,0,0,28.0
373,52,1231372800,1,3,0,1,0,0,0,31.0
374,68,1231459200,1,4,0,1,0,0,0,30.0
375,44,1231545600,1,5,1,1,0,0,0,23.0
376,71,1231632000,1,6,1,1,0,0,0,32.0
377,49,1231718400,1,0,0,1,0,0,0,20.0
378,75,1231804800,1,1,0,1,0,0,0,35.0
379,74,1231891200,1,2,0,1,0,0,0,31.0
380,46,1231977600,1,3,0,1,0,0,0,21.0
381,43,1232064000,1,4,0,1,0,0,0,23.0
382,87,1232150400,1,5,1,1,0,0,0,35.0
383,67,1232236800,1,6,1,1,0,0,0,36.0
384,50,1232323200,1,0,0,1,0,0,0,26.0
385,50,1232409600,1,1,0,1,0,0,0,27.0
386,70,1232496000,1,2,0,1,0,0,0,39.0
387,67,1232582400,1,3,0,1,0,0,0,34.0
388,47,1232668800,1,4,0,1,0,0,0,22.0
389,80,1232755200,1,5,1,1,0,0,0,42.0
390,62,1232841600,1,6,1,1,0,0,0,35.0
391,43,1232928000,1,0,0,1,0,0,0,24.0
392,68,1233014400,1,1,0,1,0,0,0,35.0
393,77,1233100800,1,2,0,1,0,0,0,37.0
394,45,1233187200,1,3,0,1,0,0,0,33.0
395,91,1233273600,1,4,0,1,0,0,0,42.0
396,100,1233360000,1,5,1,1,0,0,0,54.0
397,92,1233446400,2,6,1,1,0,0,0,44.0
398,90,1233532800,2,0,0,1,0,0,0,40.0
399,65,1233619200,2,1,0,1,0,0,0,38.0
400,67,1233705600,2,2,0,1,0,0,0,34.0
401,100,1233792000,2,3,0,1,0,0,0,55.0
402,73,1233878400,2,4,0,1,0,0,0,30.0
403,73,1233964800,2,5,1,1,0,0,0,38.0
404,62,1234051200,2,6,1,1,0,0,0,29.0
405,77,1234137600,2,0,0,1,0,0,0,43.0
406,68,1234224000,2,1,0,1,0,0,0,29.0
407,92,1234310400,2,2,0,1,0,0,0,38.0
408,69,1234396800,2,3,0,1,0,0,0,33.0
409,69,1234483200,2,4,0,1,0,0,0,50.0
410,63,1234569600,2,5,1,1,0,0,0,31.0
411,48,1234656000,2,6,1,1,0,0,0,38.0
412,83,1234742400,2,0,0,1,0,0,0,32.0
413,79,1234828800,2,1,0,1,0,0,0,38.0
414,76,1234915200,2,2,0,1,0,0,0,30.0
415,60,1235001600,2,3,0,1,0,0,0,36.0
416,63,1235088000,2,4,0,1,0,0,0,32.0
417,74,1235174400,2,5,1,1,0,0,0,42.0
418,59,1235260800,2,6,1,1,0,0,0,25.0
419,64,1235347200,2,0,0,1,0,0,0,31.0
420,85,1235433600,2,1,0,1,0,0,0,35.0
421,59,1235520000,2,2,0,1,0,0,0,33.0
422,75,1235606400,2,3,0,1,0,0,0,31.0
423,46,1235692800,2,4,0,1,0,0,0,18.0
424,47,1235779200,2,5,1,1,0,0,0,26.0
425,55,1235865600,3,6,1,0,1,0,0,29.0
426,83,1235952000,3,0,0,0,1,0,0,42.0
427,80,1236038400,3,1,0,0,1,0,0,45.0
428,72,1236124800,3,2,0,0,1,0,0,29.0
429,69,1236211200,3,3,0,0,1,0,0,32.0
430,67,1236297600,3,4,0,0,1,0,0,32.0
431,95,1236384000,3,5,1,0,1,0,0,54.0
432,74,1236470400,3,6,1,0,1,0,0,35.0
433,64,1236556800,3,0,0,0,1,0,0,29.0
434,100,1236643200,3,1,0,0,1,0,0,44.0
435,65,1236729600,3,2,0,0,1,0,0,37.0
436,55,1236816000,3,3,0,0,1,0,0,31.0
437,85,1236902400,3,4,0,0,1,0,0,44.0
438,63,1236988800,3,5,1,0,1,0,0,24.0
439,89,1237075200,3,6,1,0,1,0,0,44.0
440,69,1237161600,3,0,0,0,1,0,0,32.0
441,95,1237248000,3,1,0,0,1,0,0,44.0
442,62,1237334400,3,2,0,0,1,0,0,28.0
443,84,1237420800,3,3,0,0,1,0,0,45.0
444,90,1237507200,3,4,0,0,1,0,0,45.0
445,85,1237593600,3,5,1,0,1,0,0,39.0
446,84,1237680000,3,6,1,0,1,0,0,40.0
447,57,1237766400,3,0,0,0,1,0,0,28.0
448,91,1237852800,3,1,0,0,1,0,0,52.0
449,82,1237939200,3,2,0,0,1,0,0,41.0
450,72,1238025600,3,3,0,0,1,0,0,31.0
451,57,1238112000,3,4,0,0,1,0,0,34.0
452,61,1238198400,3,5,1,0,1,0,0,28.0
453,61,1238284800,3,6,1,0,1,0,0,34.0
454,57,1238371200,3,0,0,0,1,0,0,31.0
455,72,1238457600,3,1,0,0,1,0,0,41.0
456,69,1238544000,4,2,0,0,1,0,0,41.0
457,62,1238630400,4,3,0,0,1,0,0,32.0
458,74,1238716800,4,4,0,0,1,0,0,33.0
459,87,1238803200,4,5,1,0,1,0,0,41.0
460,62,1238889600,4,6,1,0,1,0,0,23.0
461,100,1238976000,4,0,0,0,1,0,0,38.0
462,61,1239062400,4,1,0,0,1,0,0,25.0
463,87,1239148800,4,2,0,0,1,0,0,44.0
464,90,1239235200,4,3,0,0,1,0,0,35.0
465,92,1239321600,4,4,0,0,1,0,0,51.0
466,52,1239408000,4,5,1,0,1,0,0,28.0
467,76,1239494400,4,6,1,0,1,0,0,41.0
468,80,1239580800,4,0,0,0,1,0,0,46.0
469,56,1239667200,4,1,0,0,1,0,0,25.0
470,59,1239753600,4,2,0,0,1,0,0,28.0
471,68,1239840000,4,3,0,0,1,0,0,44.0
472,77,1239926400,4,4,0,0,1,0,0,34.0
473,57,1240012800,4,5,1,0,1,0,0,23.0
474,70,1240099200,4,6,1,0,1,0,0,34.0
475,54,1240185600,4,0,0,0,1,0,0,26.0
476,81,1240272000,4,1,0,0,1,0,0,39.0
477,94,1240358400,4,2,0,0,1,0,0,42.0
478,66,1240444800,4,3,0,0,1,0,0,29.0
479,74,1240531200,4,4,0,0,1,0,0,42.0
480,86,1240617600,4,5,1,0,1,0,0,48.0
481,95,1240704000,4,6,1,0,1,0,0,44.0
482,84,1240790400,4,0,0,0,1,0,0,54.0
483,51,1240876800,4,1,0,0,1,0,0,16.0
484,60,1240963200,4,2,0,0,1,0,0,27.0
485,86,1241049600,4,3,0,0,1,0,0,43.0
486,96,1241136000,5,4,0,0,1,0,0,56.0
487,59,1241222400,5,5,1,0,1,0,0,25.0
488,44,1241308800,5,6,1,0,1,0,0,17.0
489,70,1241395200,5,0,0,0,1,0,0,35.0
490,100,1241481600,5,1,0,0,1,0,0,49.0
491,49,1241568000,5,2,0,0,1,0,0,16.0
492,92,1241654400,5,3,0,0,1,0,0,42.0
493,60,1241740800,5,4,0,0,1,0,0,32.0
494,70,1241827200,5,5,1,0,1,0,0,42.0
495,67,1241913600,5,6,1,0,1,0,0,40.0
496,78,1242000000,5,0,0,0,1,0,0,40.0
497,77,1242086400,5,1,0,0,1,0,0,47.0
498,72,1242172800,5,2,0,0,1,0,0,39.0
499,68,1242259200,5,3,0,0,1,0,0,44.0
500,66,1242345600,5,4,0,0,1,0,0,26.0
501,83,1242432000,5,5,1,0,1,0,0,40.0
502,73,1242518400,5,6,1,0,1,0,0,38.0
503,83,1242604800,5,0,0,0,1,0,0,40.0
504,65,1242691200,5,1,0,0,1,0,0,27.0
505,80,1242777600,5,2,0,0,1,0,0,54.0
506,89,1242864000,5,3,0,0,1,0,0,44.0
507,87,1242950400,5,4,0,0,1,0,0,48.0
508,62,1243036800,5,5,1,0,1,0,0,31.0
509,80,1243123200,5,6,1,0,1,0,0,44.0
510,46,1243209600,5,0,0,0,1,0,0,18.0
511,68,1243296000,5,1,0,0,1,0,0,35.0
512,83,1243382400,5,2,0,0,1,0,0,43.0
513,41,1243468800,5,3,0,0,1,0,0,26.0
